id,course,wandCore,sex,bloodStatus,house,result,Defence against the dark arts exam,Flying exam,Astronomy exam,Herbology exam,Divinations exam,Charms exam,History of magic exam,Arithmancy exam,Muggle studies exam,Study of ancient runes exam,Transfiguration exam,Potions exam,Care of magical creatures exam,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40
1,4,unicorn hair,female,half-blood,Slytherin,100,17,54,72,96,14,45,9,48,66,43,47,96,81.31860043027221,0,-5,0,9,4,-17,9,7,-5,15,3,6,-13,-2,0,18,1,10,-18,8,-2,21,7,11,2,14,4,-3,-20,9,1,2,0,7,-4,4,2,12,2,1
2,5,phoenix feather,male,half-blood,Slytherin,-107,8,23,32,57,13,18,0,18,16,38,26,95,96.88028713571839,5,-1,4,-3,-14,-14,-6,-1,7,-5,-7,20,-7,-8,-2,3,-6,1,4,2,-6,-5,0,-4,-1,-2,-4,-3,0,0,-15,12,-2,-8,-19,9,-2,-11,-9,-9
3,4,dragon heartstring,female,half-blood,Slytherin,105,82,64,68,93,10,58,39,57,71,54,53,90,72.47861696099072,8,9,-1,6,7,4,8,7,-22,7,5,6,-10,5,7,13,-11,1,-1,-5,7,-5,11,-1,13,-3,12,9,8,-26,5,0,3,18,0,-2,12,-2,3,0
4,2,phoenix feather,male,half-blood,Slytherin,-156,12,5,17,47,28,15,0,0,11,22,27,90,79.52182039257853,25,-13,-8,5,-3,-1,0,-17,0,-1,-8,-2,-3,-8,-5,-7,-1,-10,4,-4,-4,-16,0,1,-20,-19,-5,-2,-5,-4,-1,0,-5,1,2,0,-4,-6,-2,-10
5,2,phoenix feather,female,half-blood,Hufflepuff,129,62,61,46,89,19,76,27,73,77,77,70,19,95.78037254977971,3,-21,5,3,19,9,3,16,4,-5,6,25,23,8,18,-3,-4,6,-4,9,-1,4,-1,-6,9,13,0,0,-4,-8,-2,18,4,-20,2,-18,-5,19,2,3
6,6,phoenix feather,male,muggle-born,Gryffindor,58,46,73,38,76,6,50,17,46,49,49,55,58,94.83997899806127,-1,0,1,-8,16,5,0,17,-8,7,0,18,-4,-2,6,7,-2,-4,5,-4,3,-21,1,-9,-3,24,11,6,7,-10,6,-5,2,3,1,-7,13,-7,1,-7
7,7,unicorn hair,female,half-blood,Hufflepuff,27,40,48,53,73,3,59,16,50,39,59,78,60,98.61282153332866,9,8,13,9,5,-1,-4,5,-3,-6,-15,-5,20,-19,7,-4,0,-17,4,-2,-11,4,5,2,-8,-6,2,-5,21,7,3,12,-6,4,0,-1,0,-1,5,-4
8,5,phoenix feather,female,half-blood,Hufflepuff,109,75,67,61,70,7,64,37,50,71,96,50,18,86.87422232703106,-6,-3,6,9,9,0,-2,-7,0,8,11,-1,-7,7,-4,-2,13,18,-19,4,27,4,-2,12,1,4,-3,10,1,-3,11,-6,3,-1,5,0,5,25,6,-24
9,2,unicorn hair,male,half-blood,Gryffindor,41,68,65,73,95,8,25,17,30,58,54,26,8,97.04689306090586,18,-1,4,7,10,-7,8,12,6,7,3,-3,1,-9,1,6,0,1,4,-2,17,-9,2,1,-3,-22,-8,4,-3,-10,7,-5,-8,4,3,-2,3,4,-1,1
10,3,dragon heartstring,female,pure-blood,Ravenclaw,57,27,47,56,95,22,43,0,53,52,43,48,12,98.06599856983095,5,6,1,-4,0,10,0,4,10,-5,-22,-2,0,0,1,-5,-20,-4,5,8,-18,15,5,5,0,21,2,25,6,9,-9,1,-21,0,5,13,18,-8,-7,7
